call_number,display_template,provenance,binding_description,date,title,location,Publisher,longitude,latitude,subject,local_note,editor,author,note,,,,,,Formats
Pt19.G17 v4,record,,Blue paper over boards; yellow spine label. ,1818,Gaben der Milde: Viertes Bändchen,Berlin, F. W. Gubitz,,,Drama ; essays ; tales. ,,,v. Arnim; Hebaklius; Müller; Voss; Gubitz; Ludwig; Velhar.,,,,,,,
PT19.G2,record,Former owner's manuscript: [illegible],Stamped green paper over boards in a white decorated sheath. ,1794,Ganz Neuer Taschen-Kalender auf das Gemeinjahr der gnadenreichen Geburt Jesu Christi 1794,Augsburg, J. Bapt. Rösl,,,Calendar ; schedules of markets and fairs. ,Miniature Edition.,"Rambacher, Ant. Reg. ",,,,,,,,
PT19.A23,record,Former owner's stamp: [illegible],Green paper wrapper,1811,Agrionien: Ein Taschenbuch für das gesellige Vergnügen,Leipzig, Gerhard Fleischer dem Juengeren,,,Poetry ; calendar ; games. Some poems in French.,,"Hell, Th.","Apel, Laun, Kind",,,,,,,
PT19.A27 v1,record,,Blue paper over boards; white spine label.,1856,Album der Erinnerungen,Prag, Carl Bellmann's Verlag,,,Poetry ; stories. ,,"Landt, W.H. ",,,,,,,,
PT19.A27 v2,record,Former owner's stamp: [illegible],Blue paper over boards; white spine label.,1856,Album der Erinnerungen,Prag, Carl Bellmann's Verlag,,,Poetry ; stories. ,,"Landt, W.H. ",,,,,,,,
PT19.A3 v1,record,Former owner's sticker: D.G. V.B.; former owner's sticker: [illegible]; former owner's inscription: illegible. ,1/4 calf with brown Spanish marbled paper over boards; brown speckled edges; red spine label and gold detailing.,1826,Alemmania,Berlin, Karl Friedrich Amelang,,,Calendar ; stories ; proverbs.,,"Preuss, J. D. E.",Goethe; Jean Paul; Gellert; Pestalozzi; Lavater; Kleist; Klopstock; Wieland; Herder; Lessing.,,,,,,,
PT19.A3 v2,record,Former owner's inscription: Victor [Laudström Liderslund]; former owner's sticker: [illegible].,1/4 calf with brown Spanish marbled paper over boards; brown speckled edges; red spine label and gold detailing.,1823,Alemmania,Berlin, Karl Friedrich Amelang,,,Calendar ; stories ; proverbs.,,"Preuss, J. D. E.",Goethe; Schleiermacher; Schiller; Schlegel; Klopstock; Bürger; Jean Paul; Herder; Pfeffel.,,,,,,,
PT19.A387 v1,record,,Decorated blue paper over boards; gilt edges. ,1810,Almanach aus Rom für Künstler und Freunde der Bildenden Kunst,Leipzig, G. J. Göschen ,,,Calendar ; essays on art and architecture ; musical scores.,Hand colored frontispiece.,"Sickler, F. & Reinhart, C.",,,,,,,,
PT19.A387 v2,record,,Decorated blue paper over boards; gilt edges. ,1811,Almanach aus Rom für Künstler und Freunde der Bildenden Kunst,Leipzig, G. J. Göschen ,,,Calendar (listing artists) ; essays on art. ,,"Sickler, F. & Reinhart, C.",,,,,,,,
PT19.A39,record,,Tan paper over boards; red edges; blue spine label. ,1782,Almanach der Bellettristen und .Bellettristinnen,Ulietea [Berlin], Peter Jobst Edlen von Oma,,,Calendar ; literary criticism. ,,,,,,,,,,
PT19.A4 v1,record,,1/4 calf with daubed paste paper over boards; red edges; marbled endpapers. ,1770,Almanach der deutschen Musen ,"Leipzig, Berlin, Frankfurt", n.p.,,,Calendar ; poetry ; stories. ,,,Gleim; Klopstock; Wieland.,,,,,,,
